athlete.sex,average_speed,distance,type
F,3.3160000000000003,19898.8,Ride
F,2.254,126.2,Ride
F,6.524,61006.6,Ride
F,6.4879999999999995,33023.2,Ride
M,2.907,9003.2,Run
M,3.392,21109.8,Run
M,2.269,5873.4,Run
F,2.408,4149.7,Run
F,2.487,6129.3,Run
M,3.338,6445.8,Run
F,7.807,72320.7,Ride
F,2.519,4047.4,Ride
F,2.7319999999999998,16224.9,Run
F,2.434,5743.4,Run
F,4.956,1224.1,Run
M,6.62,16238.9,Ride
M,9.98,68660.2,Ride
M,1.196,1575.0,Walk
M,6.108,31106.6,Ride
M,5.805,23700.4,Ride
F,1.547,2575.4,Run
M,6.745,42315.9,Ride
F,3.017,10079.8,Run
F,2.003,5048.9,Run
M,2.478,8109.4,Run
M,5.412000000000001,14676.9,Ride
M,3.003,11565.8,Ride
F,2.349,4183.9,Run
M,7.096,122378.0,Ride
M,2.9789999999999996,6392.9,Run
F,0.0,0.0,Workout
M,6.789,54938.1,Ride
M,7.765,72740.4,Ride
F,3.055,6500.0,VirtualRide
F,2.5180000000000002,1707.5,Run
F,3.71,2044.0,Ride
M,9.41,39418.9,Ride
F,2.3369999999999997,5171.9,Run
F,2.887,6468.9,Run
M,5.287999999999999,54503.7,Ride
F,4.117,17413.0,Ride
M,8.012,54146.4,Ride
F,4.827,5869.1,Ride
F,5.109,20739.2,Ride
M,6.542000000000001,96560.6,Ride
F,3.185,5178.4,Run
M,6.843,24127.2,Ride
F,4.458,50213.8,Ride
F,3.053,2152.5,Ride
F,2.8289999999999997,14005.7,Run
M,7.531000000000001,22593.2,Ride
M,2.365,10801.6,Ride
F,2.8560000000000003,6083.9,Run
M,4.148,1775.3,Run
F,2.8310000000000004,4946.1,Run
F,2.764,6028.4,Run
F,1.484,2877.4,Run
M,8.141,96929.4,Ride
F,3.5589999999999997,26404.2,Ride
M,9.382,49686.0,Ride
M,2.2,6435.4,Run
F,3.093,5878.9,Ride
F,3.875,3561.4,Run
M,4.655,32009.5,Ride
M,0.38,1375.0,Swim
F,5.358,7431.1,Ride
F,2.327,3435.2,Run
F,3.772,16358.4,Ride
F,6.374,13003.5,Ride
F,7.4079999999999995,15216.2,Ride
F,2.5,4500.0,Run
M,7.374,10418.9,Ride
M,3.135,8079.5,Run
F,2.151,3715.1,Run
F,3.4010000000000002,4890.6,Run
F,2.734,10008.6,Run
F,0.0,0.0,Ride
F,5.544,15561.3,Ride
F,3.589,5692.7,Run
F,2.681,5126.7,Run
M,2.891,9567.7,Run
F,6.065,36529.2,Ride
F,2.698,7312.2,Ride
F,2.823,10227.8,Run
M,7.768,82693.3,Ride
